Stimulus ID,ImageArea,TextGroup,NonTextArea,TextArea,QuadTree,Saturation,Colorfulness2,Colorfulness1,Complexity,Final Score,image_path,ImageArea_csv,TextGroup_csv,NonTextArea_csv,TextArea_csv,QuadTree_csv,Saturation_csv,Colorfulness2_csv,Colorfulness1_csv,Complexity_csv
0,0,0,1.0,0.0,8.966738978759576,150.11880611187846,22.459838347286635,107.61348044208526,0.0,6.228813559,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\0.png,0.0,0.0,1002822.0,0.0,8026.0,150.7687805,22.89196915,107.6238156,6.978466527
1,1,2,0.9567573175933505,0.04324268240664953,8.346167594364134,51.941051590473144,28.14614476201389,68.00208702719654,3.5,5.846153846,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\1.png,4.0,1.0,1109683.0,11760.0,13888.0,53.35454179,31.46048311,67.0791525,7.289614843
2,30,17,0.900170785199837,0.099829214800163,8.911260254572033,40.374027506510416,16.994041528592586,63.323143891359834,8.295081967213115,4.786290323,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\2.png,31.0,15.0,871855.0,75622.0,23476.0,40.59015838,17.75377361,63.31601884,9.836733836
3,12,11,0.8223524273683316,0.17764757263166844,7.32052696227274,57.5880429964539,23.55059168708094,67.36364556289112,6.479166666666667,6.690082645,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\3.png,6.0,13.0,118820.0,26930.0,1528.0,57.98323948,23.7153768,68.13090496,3.69283253
4,10,24,0.31233631582346144,0.6876636841765386,2.833213344056216,5.939205109126984,4.0107472641621875,28.139942013913654,7.45679012345679,4.159292035,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\4.png,13.0,28.0,46485.0,186291.0,4.0,5.97233375,4.430877922,28.61836013,6.474831821
5,25,7,0.7260455364696362,0.2739544635303638,7.570443252057374,27.92025099274862,13.064988374516641,17.414602751078597,7.186915887850467,5.064814815,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\5.png,38.0,7.0,376735.0,84210.0,5062.0,28.70715518,13.17244075,17.69729071,7.679398193
6,7,36,0.5959356316552871,0.40406436834471293,6.881411303642535,12.292452872693195,3.5178744555653525,20.01979813876156,7.432835820895522,4.023809524,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\6.png,10.0,4.0,879849.0,13264.0,967.0,12.34048234,3.594220406,20.02157874,6.209021248
7,26,32,0.2469660171743944,0.7530339828256056,8.830835365537549,14.161424001057943,8.348005047733928,26.347548953269712,8.940860215053764,4.716,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\7.png,78.0,6.0,1785004.0,81960.0,22135.0,14.27613267,8.205001027,25.92707133,16.51072861
8,1,4,0.9742536487762614,0.02574635122373863,7.3537223303996315,49.083811567644034,18.520980017638426,86.50044714022121,5.266666666666667,5.794871795,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\8.png,1.0,4.0,735900.0,19452.0,868.0,48.92306746,17.79274731,86.8523393,5.770304823
9,1,3,0.9930822675352334,0.006917732464766558,7.59337419312129,13.047530675415183,7.737723473451844,26.710068453917486,3.5,4.771551724,c:\Users\conri\OneDrive\Desktop\AI Capstone\Methodology\Python Pipeline\training_images\9.png,1.0,2.0,747270.0,4220.0,1729.0,13.32012928,5.550817027,26.74108988,4.777300571
